2024.02.27 01:52:27 INFO  web[][o.s.p.ProcessEntryPoint] Starting Web Server
2024.02.27 01:52:53 INFO  web[][DbMigrations] #5009 'Recreate PK on 'kee' for 'issues' table': success | time=5ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #5010 'Drop PK on 'kee' for 'snapshots' table'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #5010 'Drop PK on 'kee' for 'snapshots' table': success | time=9ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #5011 'Drop 'analyses_uuid' index'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #5011 'Drop 'analyses_uuid' index': success | time=8ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #5012 'Recreate PK on 'kee' for 'snapshots' table'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #5012 'Recreate PK on 'kee' for 'snapshots' table': success | time=9ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6001 'Drop 'manual_measures_component_uuid' index'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6001 'Drop 'manual_measures_component_uuid' index': success | time=10ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6002 'Drop 'manual_measures' table'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6002 'Drop 'manual_measures' table': success | time=16ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6003 'Drop custom metrics data from 'live_measures' table'...
2024.02.27 01:52:53 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6003 'Drop custom metrics data from 'live_measures' table': success | time=34ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6004 'Drop custom metrics data from 'project_measures' table'...
2024.02.27 01:52:53 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6004 'Drop custom metrics data from 'project_measures' table': success | time=15ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6005 'Drop custom metrics data from 'metrics' table'...
2024.02.27 01:52:53 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6005 'Drop custom metrics data from 'metrics' table': success | time=16ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6006 'Drop 'user_managed' column from 'metrics' table'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6006 'Drop 'user_managed' column from 'metrics' table': success | time=15ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6007 'Create Audit table'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6007 'Create Audit table': success | time=8ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6008 'Add column 'removed' to 'plugins' table'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6008 'Add column 'removed' to 'plugins' table': success | time=12ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6009 'Alter column 'client_secret' of 'alm_settings' table to length 160'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6009 'Alter column 'client_secret' of 'alm_settings' table to length 160': success | time=9ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6010 'Alter column 'private_key' of 'alm_settings' table to length 2500'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6010 'Alter column 'private_key' of 'alm_settings' table to length 2500': success | time=4ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6011 'Create 'portfolios' table'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6011 'Create 'portfolios' table': success | time=11ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6012 'Create unique index for 'kee' in 'portfolios''...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6012 'Create unique index for 'kee' in 'portfolios'': success | time=16ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6013 'Create 'portfolio_references' table'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6013 'Create 'portfolio_references' table': success | time=12ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6014 'Create unique index for 'portfolio_references''...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6014 'Create unique index for 'portfolio_references'': success | time=8ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6015 'Create 'portfolio_projects' table'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6015 'Create 'portfolio_projects' table': success | time=7ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6016 'Create unique index for 'portfolio_projects''...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6016 'Create unique index for 'portfolio_projects'': success | time=9ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6017 'Migrate portfolios to new tables'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6017 'Migrate portfolios to new tables': success | time=13ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6018 'Create index for 'issue_changes' on 'issue_key' and 'change_type''...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6018 'Create index for 'issue_changes' on 'issue_key' and 'change_type'': success | time=8ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6019 'Remove SVN related properties'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6019 'Remove SVN related properties': success | time=11ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6101 'Change size of column 'selection_expression' in 'Portfolios''...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6101 'Change size of column 'selection_expression' in 'Portfolios'': success | time=7ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6102 'Migrate Bitbucket.org authentication plugin settings to built-in authentication settings'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6102 'Migrate Bitbucket.org authentication plugin settings to built-in authentication settings': success | time=13ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6103 'Create column quick_fix_available in 'issues''...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6103 'Create column quick_fix_available in 'issues'': success | time=20ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6104 'Create qgate_user_permissions Table'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6104 'Create qgate_user_permissions Table': success | time=13ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6105 'Create qgate_group_permissions Table'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6105 'Create qgate_group_permissions Table': success | time=11ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6106 'Create column sonarlint_ad_seen in 'users''...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6106 'Create column sonarlint_ad_seen in 'users'': success | time=19ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6107 'Upsert value of sonarlint_ad_seen in 'users''...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6107 'Upsert value of sonarlint_ad_seen in 'users'': success | time=10ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6108 'Change size of column 'kee' in 'components''...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6108 'Change size of column 'kee' in 'components'': success | time=4ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6109 'Create table 'portfolio_proj_branches''...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6109 'Create table 'portfolio_proj_branches'': success | time=11ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6110 'Add column 'branch_key' to table 'portfolios''...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6110 'Add column 'branch_key' to table 'portfolios'': success | time=13ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6111 'Change size of column 'kee' in 'components''...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6111 'Change size of column 'kee' in 'components'': success | time=6ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6112 'Create 'project_badge_token' Table'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6112 'Create 'project_badge_token' Table': success | time=9ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6113 'Deprecate quality profile 'Sonar way Recommended' for js and ts'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6113 'Deprecate quality profile 'Sonar way Recommended' for js and ts': success | time=25ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6114 'Drop the 'sonar.lf.aboutText' property value'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6114 'Drop the 'sonar.lf.aboutText' property value': success | time=10ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6201 'Fix usage of deprecated column in MSSQL'...
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6201 'Fix usage of deprecated column in MSSQL': success | time=4ms
2024.02.27 01:52:53 INFO  web[][DbMigrations] #6202 'Drop index 'uniq_portfolio_references''...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6202 'Drop index 'uniq_portfolio_references'': success | time=9ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6203 'Add column 'branch_uuid' to 'portfolio_references''...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6203 'Add column 'branch_uuid' to 'portfolio_references'': success | time=11ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6204 'Create index 'uniq_portfolio_references''...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6204 'Create index 'uniq_portfolio_references'': success | time=8ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6205 'Create table 'new_code_reference_branch_issues''...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6205 'Create table 'new_code_reference_branch_issues'': success | time=8ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6206 'Create index 'uniq_new_code_reference_issues''...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6206 'Create index 'uniq_new_code_reference_issues'': success | time=7ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6301 'Drop unused Issues Column REPORTER'...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6301 'Drop unused Issues Column REPORTER': success | time=19ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6302 'Drop unused Issues Column ACTION_PLAN_KEY'...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6302 'Drop unused Issues Column ACTION_PLAN_KEY': success | time=15ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6303 'Drop unused Issues Column ISSUE_ATTRIBUTES'...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6303 'Drop unused Issues Column ISSUE_ATTRIBUTES': success | time=15ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6304 'Create table 'SCANNER_ANALYSIS_CACHE'...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6304 'Create table 'SCANNER_ANALYSIS_CACHE': success | time=9ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6305 'Issue warning for users using SHA1 hash method'...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6305 'Issue warning for users using SHA1 hash method': success | time=8ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6306 'Drop table 'user_properties''...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6306 'Drop table 'user_properties'': success | time=8ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6401 'Add column 'project_key' to 'user_tokens''...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6401 'Add column 'project_key' to 'user_tokens'': success | time=10ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6402 'Add column 'type' to 'user_tokens''...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6402 'Add column 'type' to 'user_tokens'': success | time=12ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6403 'Upsert value of type in 'user_tokens''...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6403 'Upsert value of type in 'user_tokens'': success | time=9ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6404 'Make column 'type' in 'user_tokens' not nullable'...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6404 'Make column 'type' in 'user_tokens' not nullable': success | time=12ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6405 'Create table RULE_DESC_SECTIONS'...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6405 'Create table RULE_DESC_SECTIONS': success | time=9ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6406 'Insert description from RULES into RULE_DESC_SECTIONS'...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6406 'Insert description from RULES into RULE_DESC_SECTIONS': success | time=12ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6407 'Create index for RULE_DESC_SECTIONS'...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6407 'Create index for RULE_DESC_SECTIONS': success | time=6ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6408 'Drop column DESCRIPTIONS from RULES table'...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6408 'Drop column DESCRIPTIONS from RULES table': success | time=13ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6409 'Drop column CREATED_AT from RULES_METADATA table'...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6409 'Drop column CREATED_AT from RULES_METADATA table': success | time=10ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6410 'Drop column UPDATED_AT from RULES_METADATA table'...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6410 'Drop column UPDATED_AT from RULES_METADATA table': success | time=11ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6411 'Overwrite plugin file hash to force reloading rules'...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6411 'Overwrite plugin file hash to force reloading rules': success | time=8ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6412 'Add rules_metadata columns to rules table'...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6412 'Add rules_metadata columns to rules table': success | time=101ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6413 'Populate rules metadata in rules table'...
2024.02.27 01:52:54 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6413 'Populate rules metadata in rules table': success | time=12ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6414 'Drop rules_metadata table'...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6414 'Drop rules_metadata table': success | time=7ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6415 'Migrate hotspot rule descriptions'...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6415 'Migrate hotspot rule descriptions': success | time=9ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6416 'Remove onboarded column from User table'...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6416 'Remove onboarded column from User table': success | time=11ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6417 'Add column 'user_triggered' to 'audits''...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6417 'Add column 'user_triggered' to 'audits'': success | time=10ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6418 'Upsert value of 'user_triggered' in 'audits''...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6418 'Upsert value of 'user_triggered' in 'audits'': success | time=7ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6500 'remove root column from users table'...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6500 'remove root column from users table': success | time=12ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6501 'Add columns 'context_key' and 'context_display_name' into rule_desc_sections'...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6501 'Add columns 'context_key' and 'context_display_name' into rule_desc_sections': success | time=17ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6502 'Drop unique index uniq_rule_desc_sections_kee'...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6502 'Drop unique index uniq_rule_desc_sections_kee': success | time=6ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6503 'Create unique uniq_rule_desc_sections'...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6503 'Create unique uniq_rule_desc_sections': success | time=8ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6504 'Add column 'expiration_date' to 'user_tokens''...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6504 'Add column 'expiration_date' to 'user_tokens'': success | time=10ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6505 'Add column 'rule_description_context_key' to 'issues''...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6505 'Add column 'rule_description_context_key' to 'issues'': success | time=16ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6506 'Add column 'education_principles' to 'rules''...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6506 'Add column 'education_principles' to 'rules'': success | time=14ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6507 'Overwrite plugin file hash to force reloading rules'...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6507 'Overwrite plugin file hash to force reloading rules': success | time=9ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6508 'Migrate 'sonarlint_ad_seen' from users to properties'...
2024.02.27 01:52:54 INFO  web[][o.s.s.p.d.m.s.MassUpdate] 0 rows processed (0 items/sec)
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6508 'Migrate 'sonarlint_ad_seen' from users to properties': success | time=9ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6509 'Drop column sonarlint_ad_seen in 'users''...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6509 'Drop column sonarlint_ad_seen in 'users'': success | time=20ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6510 'Create table 'push_events''...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6510 'Create table 'push_events'': success | time=7ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6511 'Create index 'idx_push_even_crea_uuid_proj' on 'push_events''...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6511 'Create index 'idx_push_even_crea_uuid_proj' on 'push_events'': success | time=11ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6512 'Add column 'language' to 'push_events''...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6512 'Add column 'language' to 'push_events'': success | time=13ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6513 'Delete duplicated rows in 'project_badge_token''...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6513 'Delete duplicated rows in 'project_badge_token'': success | time=8ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6514 'Add unique index on 'project_uuid' in 'project_badge_token''...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6514 'Add unique index on 'project_uuid' in 'project_badge_token'': success | time=6ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6600 'Add column 'webhook_secret' to 'alm_settings''...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6600 'Add column 'webhook_secret' to 'alm_settings'': success | time=13ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6601 'Drop non unique index on 'uuid' in 'components''...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6601 'Drop non unique index on 'uuid' in 'components'': success | time=11ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6602 'Add unique index on 'uuid' in 'components''...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6602 'Add unique index on 'uuid' in 'components'': success | time=7ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6603 'Drop index for 'project_uuid' in 'components''...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6603 'Drop index for 'project_uuid' in 'components'': success | time=5ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6604 'Rename column 'project_uuid' to 'branch_uuid' in 'components''...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6604 'Rename column 'project_uuid' to 'branch_uuid' in 'components'': success | time=27ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6605 'Create index for 'branch_uuid' in 'components''...
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6605 'Create index for 'branch_uuid' in 'components'': success | time=7ms
2024.02.27 01:52:54 INFO  web[][DbMigrations] #6606 'Drop index for 'kee' in 'components''...
